Dates,NORMAL,ACTUAL,district
01-Mar-2019,0.8,0.29,Anugul
02-Mar-2019,1.8,0.0,Anugul
03-Mar-2019,1.6,0.0,Anugul
04-Mar-2019,0.7,0.07,Anugul
05-Mar-2019,0.5,0.13,Anugul
06-Mar-2019,0.9,0.82,Anugul
07-Mar-2019,0.7,0.0,Anugul
08-Mar-2019,0.2,0.0,Anugul
09-Mar-2019,0.8,0.0,Anugul
10-Mar-2019,0.8,0.0,Anugul
11-Mar-2019,2.0,0.0,Anugul
12-Mar-2019,1.7,0.0,Anugul
13-Mar-2019,0.2,0.06,Anugul
14-Mar-2019,0.3,0.0,Anugul
15-Mar-2019,0.6,3.16,Anugul
16-Mar-2019,0.3,9.6,Anugul
17-Mar-2019,0.4,0.0,Anugul
18-Mar-2019,0.8,16.18,Anugul
19-Mar-2019,0.4,0.35,Anugul
20-Mar-2019,0.8,0.0,Anugul
21-Mar-2019,1.1,4.01,Anugul
22-Mar-2019,1.0,0.0,Anugul
23-Mar-2019,0.8,0.43,Anugul
24-Mar-2019,0.5,0.0,Anugul
25-Mar-2019,0.4,0.0,Anugul
26-Mar-2019,0.1,0.0,Anugul
27-Mar-2019,1.0,0.0,Anugul
28-Mar-2019,0.6,0.0,Anugul
29-Mar-2019,0.8,0.0,Anugul
30-Mar-2019,1.1,0.0,Anugul
31-Mar-2019,0.7,0.0,Anugul
01-Apr-2019,0.1,2.44,Anugul
02-Apr-2019,0.5,0.58,Anugul
03-Apr-2019,0.3,1.54,Anugul
04-Apr-2019,1.0,0.0,Anugul
05-Apr-2019,0.3,0.0,Anugul
06-Apr-2019,0.8,0.0,Anugul
07-Apr-2019,0.8,0.34,Anugul
08-Apr-2019,0.9,0.0,Anugul
09-Apr-2019,0.8,4.36,Anugul
10-Apr-2019,1.5,1.24,Anugul
11-Apr-2019,0.6,0.0,Anugul
12-Apr-2019,0.3,0.38,Anugul
13-Apr-2019,0.3,0.89,Anugul
14-Apr-2019,0.5,0.3,Anugul
15-Apr-2019,1.5,0.0,Anugul
16-Apr-2019,2.6,0.0,Anugul
17-Apr-2019,0.9,0.0,Anugul
18-Apr-2019,1.6,0.0,Anugul
19-Apr-2019,1.4,6.96,Anugul
20-Apr-2019,1.1,6.07,Anugul
21-Apr-2019,1.6,0.0,Anugul
22-Apr-2019,0.6,7.77,Anugul
23-Apr-2019,0.5,3.01,Anugul
24-Apr-2019,1.3,3.08,Anugul
25-Apr-2019,1.5,0.0,Anugul
26-Apr-2019,1.3,0.0,Anugul
27-Apr-2019,1.1,0.0,Anugul
28-Apr-2019,0.8,0.0,Anugul
29-Apr-2019,1.5,0.0,Anugul
30-Apr-2019,1.7,0.0,Anugul
01-May-2019,1.2,0.0,Anugul
02-May-2019,0.3,0.0,Anugul
03-May-2019,1.0,24.86,Anugul
04-May-2019,1.1,68.37,Anugul
05-May-2019,1.2,0.01,Anugul
06-May-2019,1.7,3.13,Anugul
07-May-2019,0.9,0.08,Anugul
08-May-2019,1.9,0.0,Anugul
09-May-2019,1.2,0.0,Anugul
10-May-2019,1.6,0.0,Anugul
11-May-2019,0.9,0.0,Anugul
12-May-2019,1.5,0.17,Anugul
13-May-2019,2.2,0.27,Anugul
14-May-2019,1.1,0.0,Anugul
15-May-2019,2.1,0.0,Anugul
16-May-2019,1.0,4.86,Anugul
17-May-2019,0.7,1.29,Anugul
18-May-2019,2.4,0.0,Anugul
19-May-2019,0.5,0.03,Anugul
20-May-2019,1.3,1.07,Anugul
21-May-2019,1.4,2.36,Anugul
22-May-2019,0.6,0.07,Anugul
23-May-2019,1.2,0.0,Anugul
24-May-2019,1.0,0.33,Anugul
25-May-2019,0.8,0.02,Anugul
26-May-2019,1.6,0.09,Anugul
27-May-2019,1.0,0.0,Anugul
28-May-2019,0.7,0.03,Anugul
29-May-2019,1.7,8.64,Anugul
30-May-2019,1.8,0.25,Anugul
31-May-2019,3.1,4.35,Anugul
01-Jun-2019,4.8,9.48,Anugul
02-Jun-2019,4.0,0.0,Anugul
03-Jun-2019,4.3,6.96,Anugul
04-Jun-2019,5.1,0.05,Anugul
05-Jun-2019,3.4,0.72,Anugul
06-Jun-2019,3.2,7.9,Anugul
07-Jun-2019,2.4,0.7,Anugul
08-Jun-2019,5.7,0.89,Anugul
09-Jun-2019,5.1,1.92,Anugul
10-Jun-2019,7.7,0.6,Anugul
11-Jun-2019,2.4,2.51,Anugul
12-Jun-2019,3.6,0.0,Anugul
13-Jun-2019,6.7,24.95,Anugul
14-Jun-2019,8.8,6.34,Anugul
15-Jun-2019,8.7,0.22,Anugul
16-Jun-2019,6.1,20.14,Anugul
